Record ID,Offender Number,Record Date,Fiscal Year Revoked,Revocation Type,Status,Sex,Race & Ethnicity,Age,Offense Code,Offense Class,Offense Description,Offense Type,Offense Subtype
6108,20171378,02/24/2015,2015,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,23,124.401(1)(d)(2),D Felony,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking
6107,19347812,09/24/2024,,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,28,724.30(2),D Felony,RECKLESS USE OF A FIREARM WITH BODILY INJURY,Violent,Assault
6106,263033,10/12/2020,2021,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,50,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
6105,19028942,03/31/2021,2021,2. Revoked - Serious Misdemeanor New Conviction,Parole,Male,White,40,708.6(2),D Felony,INTIMIDATION WITH A DANGEROUS WEAPON,Violent,Assault
6104,20600636,03/23/2015,2015,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,22,124.401(1)(c)(8),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking
6103,18624452,08/11/2016,2017,5. Revoked - Other Violation (No New Arrest),Parole,Female,Black,36,715A.2(2)(a),D Felony,FORGERY,Property,Forgery/Fraud
6102,3191645,02/18/2019,2019,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Female,White,43,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
6101,20752712,02/24/2020,2020,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,32,124.401(1)(c)(8),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking
6100,19952234,11/29/2016,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,28,716.4,D Felony,CRIMINAL MISCHIEF 2ND DEGREE,Property,Vandalism
6099,18312314,04/27/2022,2022,5. Revoked - Other Violation (No New Arrest),Parole,Male,Hispanic,38,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
6098,18613772,05/30/2023,2023,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,32,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
6097,3429359,11/22/2024,,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,43,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
6096,20806244,01/22/2019,2019,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,37,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
6095,20931818,08/19/2020,2021,3. Revoked - New Arrest Pending or Found Not Guilty,Special Sentence,Male,White,35,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
6094,56249,10/03/2014,2015,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,49,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
6093,3351008,10/27/2014,2015,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,36,321J.2(C),D Felony,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI
6092,20055749,06/03/2021,2021,2. Revoked - Serious Misdemeanor New Conviction,Parole,Female,White,34,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6091,18272300,03/26/2021,2021,5. Revoked - Other Violation (No New Arrest),Parole,Female,White,45,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary
6090,20476757,01/25/2017,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,29,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
6089,19897214,03/07/2018,2018,5. Revoked - Other Violation (No New Arrest),Parole,Male,Black,51,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
6088,19340918,06/05/2024,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,24,724.26(1),D Felony,Dominion/Control of Firearm/Offensive Weapon by Felon,Public Order,Weapons
6087,3481553,05/10/2017,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,34,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6086,20644346,08/24/2021,2022,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Special Sentence,Male,White,22,903B.1,Special Sentence 2005,Special Supervision Sentence-B or C Felony/Lifetime Parole,Violent,Sex
6085,3236108,03/27/2019,2019,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,42,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
6084,2403317,12/08/2015,2016,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,50,"124.401(5),B",Aggravated Misdemeanor,Possession of a Controlled Substance - 2nd Offense,Drug,Drug Possession
6083,20407274,03/09/2021,2021,5. Revoked - Other Violation (No New Arrest),Parole,Female,White,37,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
6082,18156047,01/29/2024,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,68,708.2A(4),D Felony,"Domestic Abuse Assault-3rd or Subsequent Offense, 85%",Violent,Assault
6081,3439958,08/16/2021,2022,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Special Sentence,Male,White,39,903B.1,Special Sentence 2005,Special Supervision Sentence-B or C Felony/Lifetime Parole,Violent,Sex
6080,19996985,10/15/2015,2016,4. Revoked - New Arrest ICON,Parole,Female,White,32,321J.2(C),D Felony,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI
6079,3449507,06/19/2020,2020,5. Revoked - Other Violation (No New Arrest),Parole,Male,Black,46,"902.8,A",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PERSON),Other,Other Criminal
6078,3220976,06/17/2021,2021,5. Revoked - Other Violation (No New Arrest),Parole,Female,White,47,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6077,3155474,04/07/2020,2020,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,45,714.9,C Felony,FRAUDULENT PRACTICE 1ST DEGREE,Property,Forgery/Fraud
6076,3191213,09/10/2020,2021,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,53,321J.2(2)(c),D Felony,Operating While Intoxicated - 3rd or Subsequent Offense,Public Order,OWI
6075,18773048,06/27/2018,2018,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,53,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6074,20842151,11/21/2019,2020,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Female,White,48,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
6073,20564660,03/08/2016,2016,5. Revoked - Other Violation (No New Arrest),Special Sentence,Male,White,63,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
6072,19482866,09/08/2022,2023,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Special Sentence,Male,Black,26,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
